,number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_layers,params_shrink,state
0,0,0.6443544626235962,2026-03-13 22:37:00.109258,2026-03-13 22:37:19.478880,0 days 00:00:19.369622,sigmoid,0.5,7,0.7,COMPLETE
1,1,0.6473020911216736,2026-03-13 22:37:19.618866,2026-03-13 22:37:32.903285,0 days 00:00:13.284419,tanh,0.0,6,0.55,COMPLETE
2,2,1.5485329627990723,2026-03-13 22:37:33.037161,2026-03-13 22:37:46.757349,0 days 00:00:13.720188,relu,0.15000000000000002,7,0.8,COMPLETE
3,3,0.6457651853561401,2026-03-13 22:37:46.914985,2026-03-13 22:38:00.607760,0 days 00:00:13.692775,sigmoid,0.35000000000000003,5,0.7,COMPLETE
4,4,0.6478301286697388,2026-03-13 22:38:00.774889,2026-03-13 22:38:13.517880,0 days 00:00:12.742991,sigmoid,0.30000000000000004,2,0.95,COMPLETE
5,5,0.6570495367050171,2026-03-13 22:38:13.642329,2026-03-13 22:38:27.722153,0 days 00:00:14.079824,tanh,0.15000000000000002,8,0.65,COMPLETE
6,6,0.64570552110672,2026-03-13 22:38:27.857038,2026-03-13 22:38:41.399330,0 days 00:00:13.542292,sigmoid,0.4,6,0.7,COMPLETE
7,7,1.682591199874878,2026-03-13 22:38:41.522995,2026-03-13 22:38:54.884881,0 days 00:00:13.361886,relu,0.30000000000000004,5,0.7,COMPLETE
8,8,0.7624192237854004,2026-03-13 22:38:55.026485,2026-03-13 22:39:08.713177,0 days 00:00:13.686692,tanh,0.30000000000000004,7,0.8,COMPLETE
9,9,0.6419854760169983,2026-03-13 22:39:08.859077,2026-03-13 22:39:22.393486,0 days 00:00:13.534409,sigmoid,0.1,6,0.5,COMPLETE
10,10,0.6422950029373169,2026-03-13 22:39:22.519535,2026-03-13 22:39:35.237569,0 days 00:00:12.718034,sigmoid,0.0,3,0.5,COMPLETE
11,11,0.6433053016662598,2026-03-13 22:39:35.380643,2026-03-13 22:39:47.939221,0 days 00:00:12.558578,sigmoid,0.0,3,0.5,COMPLETE
12,12,0.6445583701133728,2026-03-13 22:39:48.086839,2026-03-13 22:40:00.979466,0 days 00:00:12.892627,sigmoid,0.1,4,0.55,COMPLETE
13,13,0.4866865575313568,2026-03-13 22:40:01.106488,2026-03-13 22:40:14.103565,0 days 00:00:12.997077,sigmoid,0.1,2,0.5,COMPLETE
14,14,0.5023279190063477,2026-03-13 22:40:14.277164,2026-03-13 22:40:27.192983,0 days 00:00:12.915819,sigmoid,0.1,2,0.6,COMPLETE
15,15,0.4712786078453064,2026-03-13 22:40:27.335333,2026-03-13 22:40:39.992995,0 days 00:00:12.657662,relu,0.2,2,0.6,COMPLETE
16,16,0.49166738986968994,2026-03-13 22:40:40.134017,2026-03-13 22:40:53.160389,0 days 00:00:13.026372,relu,0.2,3,0.6,COMPLETE
17,17,0.4712828993797302,2026-03-13 22:40:53.300904,2026-03-13 22:41:06.058788,0 days 00:00:12.757884,relu,0.2,2,1.0,COMPLETE
18,18,0.8081943988800049,2026-03-13 22:41:06.190888,2026-03-13 22:41:19.285777,0 days 00:00:13.094889,relu,0.2,4,1.0,COMPLETE
19,19,0.7615535259246826,2026-03-13 22:41:19.416290,2026-03-13 22:41:32.562061,0 days 00:00:13.145771,relu,0.25,4,0.9,COMPLETE
20,20,0.6500228643417358,2026-03-13 22:41:32.714584,2026-03-13 22:41:45.473479,0 days 00:00:12.758895,relu,0.45,3,0.8,COMPLETE
21,21,0.478887677192688,2026-03-13 22:41:45.591247,2026-03-13 22:41:58.178452,0 days 00:00:12.587205,relu,0.2,2,0.9,COMPLETE
22,22,0.4780195653438568,2026-03-13 22:41:58.295381,2026-03-13 22:42:10.866451,0 days 00:00:12.571070,relu,0.2,2,0.9,COMPLETE
23,23,0.48929569125175476,2026-03-13 22:42:10.998352,2026-03-13 22:42:23.791576,0 days 00:00:12.793224,relu,0.25,2,1.0,COMPLETE
24,24,0.5674348473548889,2026-03-13 22:42:23.906596,2026-03-13 22:42:36.679688,0 days 00:00:12.773092,relu,0.25,3,0.8500000000000001,COMPLETE
25,25,0.49317044019699097,2026-03-13 22:42:36.818872,2026-03-13 22:42:49.314297,0 days 00:00:12.495425,relu,0.15000000000000002,2,0.95,COMPLETE
26,26,0.6998814940452576,2026-03-13 22:42:49.469819,2026-03-13 22:43:02.225017,0 days 00:00:12.755198,relu,0.35000000000000003,4,0.95,COMPLETE
27,27,0.46193090081214905,2026-03-13 22:43:02.378775,2026-03-13 22:43:15.286542,0 days 00:00:12.907767,relu,0.05,3,0.9,COMPLETE
28,28,0.4676358699798584,2026-03-13 22:43:15.418360,2026-03-13 22:43:28.373456,0 days 00:00:12.955096,relu,0.05,3,1.0,COMPLETE
29,29,0.45129072666168213,2026-03-13 22:43:28.509518,2026-03-13 22:43:41.281760,0 days 00:00:12.772242,tanh,0.5,3,0.8500000000000001,COMPLETE
30,30,0.7724031209945679,2026-03-13 22:43:41.402798,2026-03-13 22:43:54.607527,0 days 00:00:13.204729,tanh,0.5,4,0.8500000000000001,COMPLETE
31,31,0.4791286587715149,2026-03-13 22:43:54.740035,2026-03-13 22:44:07.396482,0 days 00:00:12.656447,tanh,0.05,3,0.75,COMPLETE
32,32,0.4347333014011383,2026-03-13 22:44:07.511999,2026-03-13 22:44:20.481170,0 days 00:00:12.969171,tanh,0.05,3,0.8500000000000001,COMPLETE
33,33,0.504808247089386,2026-03-13 22:44:20.616966,2026-03-13 22:44:33.330490,0 days 00:00:12.713524,tanh,0.05,3,0.8500000000000001,COMPLETE
34,34,0.4296170771121979,2026-03-13 22:44:33.463519,2026-03-13 22:44:46.406715,0 days 00:00:12.943196,tanh,0.05,4,0.75,COMPLETE
35,35,0.45872586965560913,2026-03-13 22:44:46.627183,2026-03-13 22:44:59.461644,0 days 00:00:12.834461,tanh,0.0,4,0.75,COMPLETE
36,36,0.4243256449699402,2026-03-13 22:44:59.589279,2026-03-13 22:45:12.496772,0 days 00:00:12.907493,tanh,0.0,5,0.75,COMPLETE
37,37,0.6566115617752075,2026-03-13 22:45:12.626330,2026-03-13 22:45:26.354177,0 days 00:00:13.727847,tanh,0.05,5,0.75,COMPLETE
38,38,0.8430609107017517,2026-03-13 22:45:26.476354,2026-03-13 22:45:39.674548,0 days 00:00:13.198194,tanh,0.5,5,0.8,COMPLETE
39,39,0.6439914703369141,2026-03-13 22:45:39.800815,2026-03-13 22:45:52.828886,0 days 00:00:13.028071,tanh,0.0,5,0.65,COMPLETE
40,40,0.8803203105926514,2026-03-13 22:45:52.956649,2026-03-13 22:46:06.282082,0 days 00:00:13.325433,tanh,0.4,6,0.8,COMPLETE
41,41,0.4638356864452362,2026-03-13 22:46:06.425533,2026-03-13 22:46:19.445018,0 days 00:00:13.019485,tanh,0.0,4,0.75,COMPLETE
42,42,0.4307090640068054,2026-03-13 22:46:19.590484,2026-03-13 22:46:32.420119,0 days 00:00:12.829635,tanh,0.0,4,0.7,COMPLETE
43,43,0.6924698948860168,2026-03-13 22:46:32.549911,2026-03-13 22:46:45.945261,0 days 00:00:13.395350,tanh,0.05,5,0.7,COMPLETE
44,44,0.6580350995063782,2026-03-13 22:46:46.076636,2026-03-13 22:46:59.060060,0 days 00:00:12.983424,tanh,0.0,5,0.65,COMPLETE
45,45,0.42800045013427734,2026-03-13 22:46:59.215046,2026-03-13 22:47:12.268269,0 days 00:00:13.053223,tanh,0.15000000000000002,4,0.7,COMPLETE
46,46,0.6504541635513306,2026-03-13 22:47:12.399823,2026-03-13 22:47:26.326303,0 days 00:00:13.926480,tanh,0.15000000000000002,8,0.65,COMPLETE
47,47,0.4620707035064697,2026-03-13 22:47:26.498521,2026-03-13 22:47:39.504224,0 days 00:00:13.005703,tanh,0.1,4,0.7,COMPLETE
48,48,0.6520775556564331,2026-03-13 22:47:39.659610,2026-03-13 22:47:53.249260,0 days 00:00:13.589650,tanh,0.1,6,0.7,COMPLETE
49,49,0.44638681411743164,2026-03-13 22:47:53.398450,2026-03-13 22:48:06.482061,0 days 00:00:13.083611,tanh,0.0,4,0.7,COMPLETE
50,50,0.6770876049995422,2026-03-13 22:48:06.619881,2026-03-13 22:48:20.958895,0 days 00:00:14.339014,tanh,0.15000000000000002,5,0.8,COMPLETE
51,51,0.437485009431839,2026-03-13 22:48:21.111847,2026-03-13 22:48:34.944192,0 days 00:00:13.832345,tanh,0.0,4,0.7,COMPLETE
