,number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_layers,params_shrink,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.4236590564250946,2023-01-04 14:38:31.054194,2023-01-04 14:39:00.082505,0 days 00:00:29.028311,relu,0.0,6,0.8,,,,COMPLETE
1,1,0.17539697885513306,2023-01-04 14:39:00.191305,2023-01-04 14:39:42.845794,0 days 00:00:42.654489,tanh,0.45,3,0.9,0.2512301504611969,0.0765516385436058,0.05938556417822838,COMPLETE
2,2,0.08325057476758957,2023-01-04 14:39:42.950753,2023-01-04 14:39:58.439006,0 days 00:00:15.488253,tanh,0.0,3,0.65,0.09996289014816284,0.08325057476758957,,PRUNED
3,3,0.36975011229515076,2023-01-04 14:39:58.540511,2023-01-04 14:40:31.344303,0 days 00:00:32.803792,sigmoid,0.25,6,0.8,0.20354418456554413,,,COMPLETE
4,4,0.2219674438238144,2023-01-04 14:40:31.453445,2023-01-04 14:40:47.518648,0 days 00:00:16.065203,relu,0.35000000000000003,7,1.0,0.2219674438238144,,,PRUNED
5,5,0.2213178277015686,2023-01-04 14:40:47.612308,2023-01-04 14:40:56.376318,0 days 00:00:08.764010,relu,0.45,5,0.55,0.2213178277015686,,,PRUNED
6,6,0.15682175755500793,2023-01-04 14:40:56.478207,2023-01-04 14:41:04.992335,0 days 00:00:08.514128,sigmoid,0.0,2,0.7,0.15682175755500793,,,PRUNED
7,7,0.17837843298912048,2023-01-04 14:41:05.093146,2023-01-04 14:41:47.604229,0 days 00:00:42.511083,sigmoid,0.45,3,0.75,0.11541552096605301,0.05292607098817825,,COMPLETE
8,8,0.16751256585121155,2023-01-04 14:41:47.712367,2023-01-04 14:42:30.450454,0 days 00:00:42.738087,relu,0.45,2,0.9,0.10151630640029907,0.07364802807569504,0.05147479847073555,COMPLETE
9,9,0.3340695798397064,2023-01-04 14:42:30.553819,2023-01-04 14:42:46.393034,0 days 00:00:15.839215,relu,0.05,8,0.5,0.3340695798397064,,,PRUNED
10,10,0.22895628213882446,2023-01-04 14:42:46.521294,2023-01-04 14:43:02.316599,0 days 00:00:15.795305,relu,0.0,8,0.55,0.22895628213882446,,,PRUNED
11,11,0.19208276271820068,2023-01-04 14:43:02.428065,2023-01-04 14:43:11.141169,0 days 00:00:08.713104,tanh,0.0,2,0.8,0.19208276271820068,,,PRUNED
12,12,0.14583276212215424,2023-01-04 14:43:11.244097,2023-01-04 14:43:19.931807,0 days 00:00:08.687710,relu,0.35000000000000003,5,0.6,0.14583276212215424,,,PRUNED
13,13,0.19560526311397552,2023-01-04 14:43:20.017407,2023-01-04 14:43:28.689622,0 days 00:00:08.672215,relu,0.45,4,0.95,0.19560526311397552,,,PRUNED
14,14,0.2359894961118698,2023-01-04 14:43:28.776082,2023-01-04 14:43:44.555323,0 days 00:00:15.779241,relu,0.25,8,0.55,0.2359894961118698,,,PRUNED
15,15,0.4867984354496002,2023-01-04 14:43:44.658226,2023-01-04 14:43:53.929617,0 days 00:00:09.271391,relu,0.2,8,0.75,0.4867984354496002,,,PRUNED
16,16,0.2752912640571594,2023-01-04 14:43:54.022753,2023-01-04 14:44:26.677655,0 days 00:00:32.654902,sigmoid,0.15000000000000002,5,0.55,0.12009236216545105,,,COMPLETE
17,17,0.20290111005306244,2023-01-04 14:44:26.777403,2023-01-04 14:44:35.884430,0 days 00:00:09.107027,sigmoid,0.25,7,1.0,0.20290111005306244,,,PRUNED
18,18,0.14814400672912598,2023-01-04 14:44:35.978821,2023-01-04 14:45:21.857106,0 days 00:00:45.878285,relu,0.1,2,0.5,0.0800422728061676,0.042531974613666534,,COMPLETE
19,19,0.09234537929296494,2023-01-04 14:45:21.957647,2023-01-04 14:45:57.920297,0 days 00:00:35.962650,tanh,0.05,5,0.55,0.10099321603775024,0.09234537929296494,,PRUNED
20,20,0.21644695103168488,2023-01-04 14:45:58.040888,2023-01-04 14:46:06.677969,0 days 00:00:08.637081,tanh,0.5,3,0.9,0.21644695103168488,,,PRUNED
21,21,0.05186723917722702,2023-01-04 14:46:06.772731,2023-01-04 14:46:42.775260,0 days 00:00:36.002529,tanh,0.35000000000000003,3,0.9,0.1475842148065567,0.06888654828071594,0.05186723917722702,PRUNED
22,22,0.1415807008743286,2023-01-04 14:46:42.861489,2023-01-04 14:47:31.883674,0 days 00:00:49.022185,tanh,0.35000000000000003,2,0.8500000000000001,0.13504399359226227,0.07033582776784897,0.040079183876514435,COMPLETE
23,23,0.14365093410015106,2023-01-04 14:47:31.978138,2023-01-04 14:48:21.035291,0 days 00:00:49.057153,tanh,0.4,2,0.6,0.061373867094516754,0.04048106446862221,,COMPLETE
24,24,0.16296297311782837,2023-01-04 14:48:21.135773,2023-01-04 14:48:29.891194,0 days 00:00:08.755421,sigmoid,0.35000000000000003,2,0.8500000000000001,0.16296297311782837,,,PRUNED
25,25,0.08707044273614883,2023-01-04 14:48:29.986757,2023-01-04 14:48:45.649002,0 days 00:00:15.662245,relu,0.2,4,1.0,0.125271275639534,0.08707044273614883,,PRUNED
26,26,0.23703934252262115,2023-01-04 14:48:45.760478,2023-01-04 14:48:54.448682,0 days 00:00:08.688204,tanh,0.30000000000000004,4,0.8,0.23703934252262115,,,PRUNED
27,27,0.04840250685811043,2023-01-04 14:48:54.533906,2023-01-04 14:49:29.954874,0 days 00:00:35.420968,tanh,0.5,3,0.7,0.09283880889415741,0.04840250685811043,,PRUNED
28,28,0.046004291623830795,2023-01-04 14:49:30.040571,2023-01-04 14:50:05.692951,0 days 00:00:35.652380,tanh,0.35000000000000003,2,0.65,0.062061335891485214,0.046004291623830795,,PRUNED
