,number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_layers,params_shrink,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.17649532854557037,2023-01-05 17:14:59.523905,2023-01-05 17:15:30.376662,0 days 00:00:30.852757,relu,0.35000000000000003,5,1.0,,,,COMPLETE
1,1,0.3385331332683563,2023-01-05 17:15:30.495906,2023-01-05 17:15:50.515187,0 days 00:00:20.019281,tanh,0.45,7,0.65,0.18515807390213013,0.5227978229522705,,COMPLETE
2,2,0.14690999686717987,2023-01-05 17:15:50.647372,2023-01-05 17:16:22.743466,0 days 00:00:32.096094,relu,0.05,2,0.55,0.09967634081840515,0.056881438940763474,0.040340323001146317,COMPLETE
3,3,0.31512776017189026,2023-01-05 17:16:22.870727,2023-01-05 17:16:40.151480,0 days 00:00:17.280753,tanh,0.0,6,0.8500000000000001,,,,COMPLETE
4,4,0.12199507653713226,2023-01-05 17:16:40.260646,2023-01-05 17:16:47.125529,0 days 00:00:06.864883,tanh,0.05,4,0.8500000000000001,0.12199507653713226,,,PRUNED
5,5,0.5136056542396545,2023-01-05 17:16:47.205795,2023-01-05 17:16:54.474729,0 days 00:00:07.268934,tanh,0.05,8,0.55,0.5136056542396545,,,PRUNED
6,6,0.13678650557994843,2023-01-05 17:16:54.589218,2023-01-05 17:17:02.033442,0 days 00:00:07.444224,relu,0.35000000000000003,8,1.0,0.13678650557994843,,,PRUNED
7,7,0.06424200534820557,2023-01-05 17:17:02.129314,2023-01-05 17:17:14.032710,0 days 00:00:11.903396,relu,0.1,3,0.6,0.1161375567317009,0.06424200534820557,,PRUNED
8,8,,2023-01-05 17:17:14.120079,,,tanh,0.30000000000000004,3,0.9,0.09044921398162842,,,RUNNING
9,9,0.24608494341373444,2023-01-05 18:41:50.327465,2023-01-05 18:42:14.067892,0 days 00:00:23.740427,relu,0.2,5,0.95,,,,COMPLETE
10,10,0.25370174646377563,2023-01-05 18:42:14.186242,2023-01-05 18:42:34.580205,0 days 00:00:20.393963,tanh,0.2,6,0.9,,,,COMPLETE
11,11,0.06529232859611511,2023-01-05 18:42:34.698373,2023-01-05 18:42:47.085906,0 days 00:00:12.387533,sigmoid,0.2,3,0.8500000000000001,0.06425263732671738,0.06529232859611511,,PRUNED
12,12,0.2931113839149475,2023-01-05 18:42:47.178096,2023-01-05 18:42:54.625541,0 days 00:00:07.447445,sigmoid,0.15000000000000002,7,0.75,0.2931113839149475,,,PRUNED
13,13,0.1128857210278511,2023-01-05 18:42:54.727532,2023-01-05 18:43:01.991432,0 days 00:00:07.263900,relu,0.25,5,1.0,0.1128857210278511,,,PRUNED
14,14,0.17091800272464752,2023-01-05 18:43:02.116641,2023-01-05 18:43:32.907721,0 days 00:00:30.791080,tanh,0.5,3,1.0,0.08788713812828064,0.054464634507894516,,COMPLETE
15,15,0.4491925835609436,2023-01-05 18:43:33.036312,2023-01-05 18:43:40.546379,0 days 00:00:07.510067,relu,0.35000000000000003,8,0.7,0.4491925835609436,,,PRUNED
16,16,0.14569221436977386,2023-01-05 18:43:40.648481,2023-01-05 18:44:08.502581,0 days 00:00:27.854100,relu,0.0,2,0.5,0.03228482976555824,,,COMPLETE
17,17,0.06239454448223114,2023-01-05 18:44:08.615639,2023-01-05 18:44:20.835353,0 days 00:00:12.219714,relu,0.5,2,0.5,0.07110181450843811,0.06239454448223114,,PRUNED
18,18,0.4315949082374573,2023-01-05 18:44:20.926877,2023-01-05 18:44:33.951189,0 days 00:00:13.024312,relu,0.30000000000000004,8,0.6,0.4315949082374573,,,PRUNED
19,19,0.41647616028785706,2023-01-05 18:44:34.051414,2023-01-05 18:44:46.808704,0 days 00:00:12.757290,relu,0.0,8,0.55,0.41647616028785706,,,PRUNED
20,20,0.09131216257810593,2023-01-05 18:44:46.911780,2023-01-05 18:45:15.106448,0 days 00:00:28.194668,relu,0.25,5,0.5,0.09131216257810593,,,PRUNED
21,21,0.15834127366542816,2023-01-05 18:45:15.206660,2023-01-05 18:45:51.466299,0 days 00:00:36.259639,relu,0.30000000000000004,3,0.65,0.07618189603090286,0.051395196467638016,,COMPLETE
22,22,0.28396087884902954,2023-01-05 18:45:51.583478,2023-01-05 18:46:04.418767,0 days 00:00:12.835289,tanh,0.0,6,0.8500000000000001,0.09855857491493225,0.28396087884902954,,PRUNED
23,23,0.4040614664554596,2023-01-05 18:46:04.518946,2023-01-05 18:46:17.201813,0 days 00:00:12.682867,tanh,0.15000000000000002,7,0.8,0.4040614664554596,,,PRUNED
24,24,0.18544363975524902,2023-01-05 18:46:17.302039,2023-01-05 18:46:30.341954,0 days 00:00:13.039915,sigmoid,0.4,6,0.75,0.18544363975524902,,,PRUNED
25,25,0.17808173596858978,2023-01-05 18:46:30.443285,2023-01-05 18:46:37.925262,0 days 00:00:07.481977,tanh,0.0,5,0.65,0.17808173596858978,,,PRUNED
