,number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_layers,params_shrink,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.9846671223640442,2022-12-28 11:21:52.543025,2022-12-28 11:26:15.404089,0 days 00:04:22.861064,tanh,0.25,2,0.75,0.9846671223640442,,,PRUNED
1,1,0.9854399561882019,2022-12-28 11:21:52.544026,2022-12-28 11:26:10.898998,0 days 00:04:18.354972,relu,0.35000000000000003,3,0.95,0.9854399561882019,,,PRUNED
2,2,0.9844998121261597,2022-12-28 11:21:52.732855,2022-12-28 11:26:18.359775,0 days 00:04:25.626920,relu,0.5,7,0.8,0.9844998121261597,,,PRUNED
3,3,0.9848695993423462,2022-12-28 11:21:52.849248,2022-12-28 11:26:17.545035,0 days 00:04:24.695787,tanh,0.35000000000000003,4,0.6,0.9880789518356323,0.9880789518356323,,COMPLETE
4,4,0.9794259667396545,2022-12-28 11:21:52.933297,2022-12-28 11:26:01.848766,0 days 00:04:08.915469,sigmoid,0.4,4,0.6,,,,COMPLETE
5,5,0.9791919589042664,2022-12-28 11:21:53.014321,2022-12-28 11:26:05.090715,0 days 00:04:12.076394,sigmoid,0.0,3,0.85,,,,COMPLETE
6,6,0.9833750128746033,2022-12-28 11:21:53.016324,2022-12-28 11:26:48.165256,0 days 00:04:55.148932,relu,0.35000000000000003,8,0.6,0.9879307746887207,0.9879307746887207,0.9874807000160217,COMPLETE
7,7,0.983722448348999,2022-12-28 11:21:53.103479,2022-12-28 11:26:03.287072,0 days 00:04:10.183593,relu,0.15000000000000002,5,0.9,,,,COMPLETE
8,8,0.9832848906517029,2022-12-28 11:21:53.020328,2022-12-28 11:26:16.864416,0 days 00:04:23.844088,tanh,0.15000000000000002,4,0.65,0.9832848906517029,,,PRUNED
9,9,0.9838627576828003,2022-12-28 11:21:53.019327,2022-12-28 11:26:19.917189,0 days 00:04:26.897862,relu,0.4,6,1.0,0.9838627576828003,,,PRUNED
10,10,0.9769005179405212,2022-12-28 11:21:53.016324,2022-12-28 11:26:07.970332,0 days 00:04:14.954008,relu,0.45,8,0.7,0.9845387935638428,,,COMPLETE
11,11,0.983067512512207,2022-12-28 11:21:53.023330,2022-12-28 11:26:08.682985,0 days 00:04:15.659655,sigmoid,0.45,7,1.0,0.987527072429657,,,COMPLETE
12,12,0.9847227334976196,2022-12-28 11:26:02.281158,2022-12-28 11:27:31.972059,0 days 00:01:29.690901,sigmoid,0.25,7,0.75,0.9847227334976196,,,PRUNED
13,13,0.9856855869293213,2022-12-28 11:26:03.755498,2022-12-28 11:27:25.988624,0 days 00:01:22.233126,relu,0.4,2,0.8,0.9856855869293213,,,PRUNED
14,14,0.9688335657119751,2022-12-28 11:26:05.531114,2022-12-28 11:27:09.832948,0 days 00:01:04.301834,sigmoid,0.35000000000000003,8,0.95,0.9688335657119751,,,PRUNED
15,15,0.9700151681900024,2022-12-28 11:26:08.481802,2022-12-28 11:27:10.658698,0 days 00:01:02.176896,sigmoid,0.05,4,0.8,0.9700151681900024,,,PRUNED
16,16,0.9690935015678406,2022-12-28 11:26:09.511737,2022-12-28 11:27:09.164342,0 days 00:00:59.652605,tanh,0.25,2,0.75,0.9690935015678406,,,PRUNED
17,17,0.971424400806427,2022-12-28 11:26:11.432483,2022-12-28 11:27:11.683631,0 days 00:01:00.251148,sigmoid,0.15000000000000002,3,0.75,0.971424400806427,,,PRUNED
18,18,0.9706884622573853,2022-12-28 11:26:16.035665,2022-12-28 11:27:17.424844,0 days 00:01:01.389179,relu,0.35000000000000003,3,0.9,0.9706884622573853,,,PRUNED
19,19,0.9699960350990295,2022-12-28 11:26:17.473970,2022-12-28 11:27:19.109376,0 days 00:01:01.635406,relu,0.15000000000000002,3,0.9,0.9699960350990295,,,PRUNED
20,20,0.969813883304596,2022-12-28 11:26:18.724106,2022-12-28 11:27:19.254506,0 days 00:01:00.530400,relu,0.45,2,0.7,0.969813883304596,,,PRUNED
21,21,0.9697546362876892,2022-12-28 11:26:18.723104,2022-12-28 11:27:20.417563,0 days 00:01:01.694459,relu,0.2,4,0.65,0.9697546362876892,,,PRUNED
22,22,0.9611051082611084,2022-12-28 11:26:20.791984,2022-12-28 11:27:20.300456,0 days 00:00:59.508472,tanh,0.2,8,0.75,0.9611051082611084,,,PRUNED
23,23,0.9651792049407959,2022-12-28 11:26:48.679724,2022-12-28 11:27:40.378695,0 days 00:00:51.698971,sigmoid,0.35000000000000003,6,0.65,0.9651792049407959,,,PRUNED
24,24,0.9674810767173767,2022-12-28 11:27:09.626761,2022-12-28 11:28:10.876405,0 days 00:01:01.249644,tanh,0.5,5,0.65,0.9674810767173767,,,PRUNED
25,25,0.975856602191925,2022-12-28 11:27:10.311383,2022-12-28 11:28:12.587959,0 days 00:01:02.276576,tanh,0.5,6,0.85,0.975856602191925,,,PRUNED
26,26,0.9750910401344299,2022-12-28 11:27:11.122120,2022-12-28 11:28:11.967396,0 days 00:01:00.845276,tanh,0.5,6,0.85,0.9750910401344299,,,PRUNED
27,27,0.9838936924934387,2022-12-28 11:27:12.190090,2022-12-28 11:28:51.407233,0 days 00:01:39.217143,tanh,0.4,2,1.0,0.9838936924934387,,,PRUNED
28,28,0.9655107259750366,2022-12-28 11:27:17.855235,2022-12-28 11:28:22.826262,0 days 00:01:04.971027,tanh,0.5,6,0.85,0.9655107259750366,,,PRUNED
29,29,0.9713330864906311,2022-12-28 11:27:20.064241,2022-12-28 11:28:26.237366,0 days 00:01:06.173125,tanh,0.0,6,0.85,0.9713330864906311,,,PRUNED
30,30,0.9707379937171936,2022-12-28 11:27:20.071248,2022-12-28 11:28:27.718712,0 days 00:01:07.647464,tanh,0.0,6,0.85,0.9707379937171936,,,PRUNED
31,31,0.9853613972663879,2022-12-28 11:27:20.957053,2022-12-28 11:29:09.955490,0 days 00:01:48.998437,sigmoid,0.4,4,0.9,0.9853613972663879,,,PRUNED
32,32,0.979655385017395,2022-12-28 11:27:21.346407,2022-12-28 11:30:52.388106,0 days 00:03:31.041699,sigmoid,0.4,2,0.9,0.987409770488739,,,COMPLETE
