,number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_layers,params_shrink,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0,2.4909989833831787,2022-12-25 00:43:56.496738,2022-12-25 00:44:47.195602,0 days 00:00:50.698864,sigmoid,0.05,4,0.95,,,,,COMPLETE
1,1,1.810343861579895,2022-12-25 00:44:47.282394,2022-12-25 00:46:30.727544,0 days 00:01:43.445150,relu,0.2,2,0.75,100.82957458496094,21.066003799438477,8.318999290466309,6.6616129875183105,COMPLETE
2,2,32.49030685424805,2022-12-25 00:46:30.830404,2022-12-25 00:46:46.250236,0 days 00:00:15.419832,relu,0.35000000000000003,3,0.65,62.2149543762207,32.49030685424805,,,PRUNED
3,3,1.8238680362701416,2022-12-25 00:46:46.332332,2022-12-25 00:47:35.385986,0 days 00:00:49.053654,relu,0.4,3,0.75,22.15074920654297,8.331406593322754,,,COMPLETE
4,4,75.89039611816406,2022-12-25 00:47:35.474514,2022-12-25 00:47:43.895971,0 days 00:00:08.421457,sigmoid,0.4,3,0.7,75.89039611816406,,,,PRUNED
5,5,30.595821380615234,2022-12-25 00:47:43.970033,2022-12-25 00:47:59.235871,0 days 00:00:15.265838,sigmoid,0.5,2,0.95,30.595821380615234,,,,PRUNED
6,6,98.28897857666016,2022-12-25 00:47:59.326804,2022-12-25 00:48:07.976714,0 days 00:00:08.649910,tanh,0.1,5,0.7,98.28897857666016,,,,PRUNED
7,7,98.6905746459961,2022-12-25 00:48:08.059028,2022-12-25 00:48:16.518356,0 days 00:00:08.459328,relu,0.30000000000000004,3,0.9,98.6905746459961,,,,PRUNED
8,8,160.411376953125,2022-12-25 00:48:16.600052,2022-12-25 00:48:25.542341,0 days 00:00:08.942289,sigmoid,0.30000000000000004,8,0.75,160.411376953125,,,,PRUNED
9,9,23.121549606323242,2022-12-25 00:48:25.624377,2022-12-25 00:48:41.340463,0 days 00:00:15.716086,relu,0.05,4,0.85,38.96817398071289,23.121549606323242,,,PRUNED
10,10,57.587581634521484,2022-12-25 00:48:41.429445,2022-12-25 00:48:57.281033,0 days 00:00:15.851588,sigmoid,0.30000000000000004,7,0.9,57.587581634521484,,,,PRUNED
11,11,25.395816802978516,2022-12-25 00:48:57.364017,2022-12-25 00:49:13.023391,0 days 00:00:15.659374,tanh,0.1,5,0.85,70.90299224853516,25.395816802978516,,,PRUNED
12,12,26.83248519897461,2022-12-25 00:49:13.130368,2022-12-25 00:49:28.171239,0 days 00:00:15.040871,tanh,0.45,2,0.85,26.83248519897461,,,,PRUNED
13,13,42.87367248535156,2022-12-25 00:49:28.253928,2022-12-25 00:49:43.827653,0 days 00:00:15.573725,tanh,0.15000000000000002,6,0.95,42.87367248535156,,,,PRUNED
14,14,94.01188659667969,2022-12-25 00:49:43.910076,2022-12-25 00:49:52.693368,0 days 00:00:08.783292,tanh,0.0,6,0.7,94.01188659667969,,,,PRUNED
15,15,1.3594812154769897,2022-12-25 00:49:52.776071,2022-12-25 00:51:35.946999,0 days 00:01:43.170928,relu,0.5,2,0.6,59.37104797363281,13.481715202331543,6.90955924987793,3.9941487312316895,COMPLETE
16,16,259.9917907714844,2022-12-25 00:51:36.050483,2022-12-25 00:51:51.684279,0 days 00:00:15.633796,tanh,0.05,8,0.85,259.9917907714844,,,,PRUNED
17,17,1.652732491493225,2022-12-25 00:51:51.766974,2022-12-25 00:53:04.264257,0 days 00:01:12.497283,relu,0.5,2,0.6,55.856571197509766,14.50235652923584,5.791142463684082,,COMPLETE
18,18,20.52745246887207,2022-12-25 00:53:04.358787,2022-12-25 00:53:40.185400,0 days 00:00:35.826613,sigmoid,0.1,4,1.0,23.18708610534668,20.52745246887207,,,PRUNED
19,19,10.460772514343262,2022-12-25 00:53:40.268536,2022-12-25 00:54:15.723317,0 days 00:00:35.454781,tanh,0.4,3,0.65,22.571962356567383,10.460772514343262,,,PRUNED
20,20,256.7172546386719,2022-12-25 00:54:15.807634,2022-12-25 00:54:31.531446,0 days 00:00:15.723812,relu,0.45,8,0.6,256.7172546386719,,,,PRUNED
21,21,93.31978607177734,2022-12-25 00:54:31.605506,2022-12-25 00:54:39.896485,0 days 00:00:08.290979,relu,0.5,2,0.6,93.31978607177734,,,,PRUNED
22,22,8.997227668762207,2022-12-25 00:54:39.979178,2022-12-25 00:55:15.577108,0 days 00:00:35.597930,relu,0.30000000000000004,2,0.9,22.869626998901367,8.997227668762207,,,PRUNED
23,23,46.3017578125,2022-12-25 00:55:15.659437,2022-12-25 00:55:30.784282,0 days 00:00:15.124845,relu,0.5,2,0.6,35.96828079223633,46.3017578125,,,PRUNED
24,24,32.454200744628906,2022-12-25 00:55:30.866981,2022-12-25 00:55:46.241452,0 days 00:00:15.374471,relu,0.2,5,0.7,32.454200744628906,,,,PRUNED
25,25,27.70690155029297,2022-12-25 00:55:46.323138,2022-12-25 00:56:01.457359,0 days 00:00:15.134221,relu,0.30000000000000004,3,0.75,27.70690155029297,,,,PRUNED
26,26,70.0213623046875,2022-12-25 00:56:01.539657,2022-12-25 00:56:10.590000,0 days 00:00:09.050343,relu,0.4,7,0.6,70.0213623046875,,,,PRUNED
27,27,1.6865202188491821,2022-12-25 00:56:10.672300,2022-12-25 00:57:22.879968,0 days 00:01:12.207668,relu,0.2,2,0.7,6.238356590270996,,,,COMPLETE
28,28,14.631925582885742,2022-12-25 00:57:22.963160,2022-12-25 00:57:58.440327,0 days 00:00:35.477167,relu,0.2,4,0.85,14.631925582885742,,,,PRUNED
29,29,77.82181549072266,2022-12-25 00:57:58.522449,2022-12-25 00:58:07.323408,0 days 00:00:08.800959,relu,0.45,4,1.0,77.82181549072266,,,,PRUNED
30,30,2.9667727947235107,2022-12-25 00:58:07.405452,2022-12-25 00:58:39.683473,0 days 00:00:32.278021,relu,0.35000000000000003,4,0.95,,,,,COMPLETE
31,31,7.25095272064209,2022-12-25 00:58:39.768400,2022-12-25 00:59:15.034362,0 days 00:00:35.265962,relu,0.4,3,0.6,7.25095272064209,,,,PRUNED
32,32,24.3271484375,2022-12-25 00:59:15.109095,2022-12-25 00:59:30.641090,0 days 00:00:15.531995,relu,0.35000000000000003,4,0.8,24.3271484375,,,,PRUNED
33,33,15.90148639678955,2022-12-25 00:59:30.716199,2022-12-25 01:00:06.221722,0 days 00:00:35.505523,relu,0.1,4,0.7,15.90148639678955,,,,PRUNED
34,34,1.5957505702972412,2022-12-25 01:00:06.296081,2022-12-25 01:01:48.691059,0 days 00:01:42.394978,relu,0.25,2,0.75,18.51285743713379,7.642991065979004,4.975321292877197,,COMPLETE
35,35,105.3134765625,2022-12-25 01:01:48.786203,2022-12-25 01:01:57.071623,0 days 00:00:08.285420,relu,0.2,2,0.65,105.3134765625,,,,PRUNED
36,36,4.013393878936768,2022-12-25 01:01:57.155322,2022-12-25 01:02:29.894978,0 days 00:00:32.739656,relu,0.5,5,0.75,,,,,COMPLETE
37,37,10.150156021118164,2022-12-25 01:02:29.981501,2022-12-25 01:03:05.399756,0 days 00:00:35.418255,relu,0.2,3,0.75,21.057506561279297,10.150156021118164,,,PRUNED
38,38,29.31165885925293,2022-12-25 01:03:05.482455,2022-12-25 01:03:20.707923,0 days 00:00:15.225468,relu,0.0,4,0.7,29.31165885925293,,,,PRUNED
39,39,99.1923828125,2022-12-25 01:03:20.790615,2022-12-25 01:03:29.457259,0 days 00:00:08.666644,relu,0.45,3,0.65,99.1923828125,,,,PRUNED
40,40,44.384490966796875,2022-12-25 01:03:29.531422,2022-12-25 01:03:44.846801,0 days 00:00:15.315379,relu,0.25,5,0.75,44.384490966796875,,,,PRUNED
41,41,123.64639282226562,2022-12-25 01:03:44.921118,2022-12-25 01:03:53.679412,0 days 00:00:08.758294,tanh,0.5,6,0.8,123.64639282226562,,,,PRUNED
42,42,1.536435604095459,2022-12-25 01:03:53.762267,2022-12-25 01:06:01.264973,0 days 00:02:07.502706,relu,0.35000000000000003,3,0.6,12.399455070495605,6.327816963195801,4.893138408660889,,COMPLETE
43,43,23.603734970092773,2022-12-25 01:06:01.358085,2022-12-25 01:06:16.386222,0 days 00:00:15.028137,relu,0.2,2,0.6,23.603734970092773,,,,PRUNED
44,44,28.356489181518555,2022-12-25 01:06:16.459579,2022-12-25 01:06:31.843373,0 days 00:00:15.383794,sigmoid,0.4,4,0.6,67.87273406982422,28.356489181518555,,,PRUNED
45,45,9.127737998962402,2022-12-25 01:06:31.916745,2022-12-25 01:07:01.551299,0 days 00:00:29.634554,tanh,0.1,8,0.75,,,,,COMPLETE
46,46,33.935821533203125,2022-12-25 01:07:01.635824,2022-12-25 01:07:16.948276,0 days 00:00:15.312452,sigmoid,0.35000000000000003,5,0.65,33.935821533203125,,,,PRUNED
47,47,77.4517593383789,2022-12-25 01:07:17.022642,2022-12-25 01:07:25.321962,0 days 00:00:08.299320,relu,0.25,2,0.75,77.4517593383789,,,,PRUNED
48,48,32.76219940185547,2022-12-25 01:07:25.396007,2022-12-25 01:07:40.603807,0 days 00:00:15.207800,relu,0.25,4,0.65,32.76219940185547,,,,PRUNED
49,49,91.2595443725586,2022-12-25 01:07:40.677861,2022-12-25 01:07:49.236486,0 days 00:00:08.558625,relu,0.15000000000000002,2,0.75,91.2595443725586,,,,PRUNED
